fleet_manager_id,manager_key,manager_name,manager_email,driver_id,driver_name,driver_email,vehicle_id,driver_sequence
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0001,Driver_001,driver001@fleetev.in,VH00001,1
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0002,Driver_002,driver002@fleetev.in,VH00002,2
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0003,Driver_003,driver003@fleetev.in,VH00003,3
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0004,Driver_004,driver004@fleetev.in,VH00004,4
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0005,Driver_005,driver005@fleetev.in,VH00005,5
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0006,Driver_006,driver006@fleetev.in,VH00006,6
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0007,Driver_007,driver007@fleetev.in,VH00007,7
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0008,Driver_008,driver008@fleetev.in,VH00008,8
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0009,Driver_009,driver009@fleetev.in,VH00009,9
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0010,Driver_010,driver010@fleetev.in,VH00010,10
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0011,Driver_011,driver011@fleetev.in,VH00011,11
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0012,Driver_012,driver012@fleetev.in,VH00012,12
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0013,Driver_013,driver013@fleetev.in,VH00013,13
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0014,Driver_014,driver014@fleetev.in,VH00014,14
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0015,Driver_015,driver015@fleetev.in,VH00015,15
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0016,Driver_016,driver016@fleetev.in,VH00016,16
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0017,Driver_017,driver017@fleetev.in,VH00017,17
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0018,Driver_018,driver018@fleetev.in,VH00018,18
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0019,Driver_019,driver019@fleetev.in,VH00019,19
MGR001,MGRKEY001754,Manager_01,manager01@fleetev.in,DR0020,Driver_020,driver020@fleetev.in,VH00020,20
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0021,Driver_021,driver021@fleetev.in,VH00021,1
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0022,Driver_022,driver022@fleetev.in,VH00022,2
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0023,Driver_023,driver023@fleetev.in,VH00023,3
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0024,Driver_024,driver024@fleetev.in,VH00024,4
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0025,Driver_025,driver025@fleetev.in,VH00025,5
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0026,Driver_026,driver026@fleetev.in,VH00026,6
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0027,Driver_027,driver027@fleetev.in,VH00027,7
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0028,Driver_028,driver028@fleetev.in,VH00028,8
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0029,Driver_029,driver029@fleetev.in,VH00029,9
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0030,Driver_030,driver030@fleetev.in,VH00030,10
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0031,Driver_031,driver031@fleetev.in,VH00031,11
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0032,Driver_032,driver032@fleetev.in,VH00032,12
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0033,Driver_033,driver033@fleetev.in,VH00033,13
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0034,Driver_034,driver034@fleetev.in,VH00034,14
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0035,Driver_035,driver035@fleetev.in,VH00035,15
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0036,Driver_036,driver036@fleetev.in,VH00036,16
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0037,Driver_037,driver037@fleetev.in,VH00037,17
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0038,Driver_038,driver038@fleetev.in,VH00038,18
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0039,Driver_039,driver039@fleetev.in,VH00039,19
MGR002,MGRKEY002859,Manager_02,manager02@fleetev.in,DR0040,Driver_040,driver040@fleetev.in,VH00040,20
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0041,Driver_041,driver041@fleetev.in,VH00041,1
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0042,Driver_042,driver042@fleetev.in,VH00042,2
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0043,Driver_043,driver043@fleetev.in,VH00043,3
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0044,Driver_044,driver044@fleetev.in,VH00044,4
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0045,Driver_045,driver045@fleetev.in,VH00045,5
MGR003,MGRKEY003328,Manager_03,manager03@fleetev.in,DR0046,Driver_046,driver046@fleetev.in,VH00046,6
