user_id,email,role,account_status,email_verified,last_login,fleet_manager_id,manager_key_used,manager_email,vehicle_id,vin,registration_number,vehicle_make,vehicle_model,car_type,manufacture_year,vehicle_weight_kg,vehicle_status,insurance_expiry,battery_capacity_kwh,battery_percentage,battery_health_percent,battery_temperature,battery_voltage,charging_cycles,battery_age_months,battery_alert_flag,alert_threshold_percent,motor_speed_rpm,motor_temperature,motor_efficiency,latitude,longitude,speed_kmph,acceleration,distance_travelled_km,trip_duration_min,remaining_range_km,load_weight_kg,start_location,start_latitude,start_longitude,destination,destination_latitude,destination_longitude,route_distance_km,eta_minutes,road_type,traffic_level,weather_condition,charging_stops_en_route,charging_status,charging_station_id,charging_duration_min,charging_cost_rs,energy_consumed_kwh,charger_type,driver_id,driver_income,driver_experience_years,driver_score,harsh_braking_count,sudden_acceleration_count,overspeed_count,cost_per_km,daily_energy_cost,monthly_energy_cost,total_trip_cost,tire_health_percent,last_service_days,maintenance_cost_rs,maintenance_alert,timestamp,day_of_week,month
USR0001,driver001@fleetev.in,Driver,Active,True,2022-12-17 01:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00001,IN66722344,MH53EV5552,Tata,Tata Tigor EV,Sedan,2021,1255,Under Maintenance,2023-11-01,26,69.1,98.8,28.1,398.5,1175,17,False,20,1731,77.5,96.8,22.471458,88.041911,39.6,2.98,224.4,290,116.8,478.4,Kolkata,22.5726,88.3639,Delhi,28.6139,77.209,482.9,228,Mixed,Low,Clear,0,Fully Charged,CS0107,41,59.88,10.61,AC Level 2,DR0001,74797,3,57.9,13,9,4,0.45,78.35,2037.1,100.98,68.4,102,3916.98,Brake Inspection,2023-01-01 01:00:00,Sunday,January
USR0002,driver002@fleetev.in,Driver,Inactive,False,2022-12-06 02:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00002,IN58181396,MH54EV5333,Tata,Tata Tiago EV,Hatchback,2023,1205,Under Maintenance,2023-11-24,24,34.2,90,22.3,373.8,764,24,False,20,3556,64.7,89,27.059625,75.37127,71.9,4.73,204.5,89,53.4,468.8,Jaipur,26.9124,75.7873,Lucknow,26.8467,80.9462,239.4,48,Highway,Medium,Rainy,3,Not Charging,CS0066,0,0,7.89,AC Level 2,DR0002,35328,13,57.7,1,17,2,0.45,71.43,1857.18,92.03,75.5,211,755.87,Software Update,2023-01-01 02:00:00,Sunday,January
USR0003,driver003@fleetev.in,Driver,Active,True,2022-12-09 03:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00003,IN49349722,MH90EV6925,Mahindra,Mahindra XEV 9e,SUV,2024,2100,Active,2023-09-29,79,32.8,81.4,22,380.3,243,60,False,20,1470,73.2,97.3,23.19276,72.69521,6.3,-0.84,212.8,170,168.4,314.2,Ahmedabad,23.0225,72.5714,Bhopal,23.2599,77.4126,139.9,30,Urban,Low,Cloudy,0,Fully Charged,CS0383,154,191.09,48.53,Super Charger,DR0003,111673,2,40.4,3,0,5,2.42,429.04,11155.04,514.98,70.3,336,7726.43,Software Update,2023-01-01 03:00:00,Sunday,January
USR0004,driver004@fleetev.in,Driver,Active,False,2022-12-31 03:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00004,IN48840994,MH20EV4814,MG,MG ZS EV,SUV,2021,1620,Active,2024-10-26,50.3,53.8,90.5,44.3,368.9,818,39,False,20,717,36.9,88.2,26.99644,80.881988,15.7,-4.84,291.3,23,175.9,144.2,Lucknow,26.8467,80.9462,Bangalore,12.9716,77.5946,316.8,207,Urban,Low,Rainy,1,Fully Charged,CS0238,37,59.41,2.94,AC Level 2,DR0004,46319,12,84.3,14,15,15,0.08,25.87,672.62,23.3,62.1,150,4555.44,Brake Inspection,2023-01-01 03:00:00,Sunday,January
USR0005,driver005@fleetev.in,Driver,Active,True,2022-12-25 04:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00005,IN57683626,MH36EV5374,Kia,Kia EV6,Crossover,2023,1960,Under Maintenance,2024-01-11,77.4,40,77.6,41.2,374.5,861,64,True,20,6038,61.8,96,21.348868,73.147789,139.9,-4.63,122.9,272,201.2,316,Surat,21.1702,72.8311,Chandigarh,30.7333,76.7794,249.1,118,Highway,High,Clear,3,Fully Charged,CS0296,80,139.24,20.12,Super Charger,DR0005,57087,18,47,19,20,11,1.6,175.95,4574.7,196.64,58.1,98,3753.92,Brake Inspection,2023-01-01 04:00:00,Sunday,January
USR0006,driver006@fleetev.in,Driver,Active,True,2022-12-27 11:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00006,IN72043515,MH58EV5422,Tata,Tata Tigor EV,Sedan,2024,1255,Active,2024-06-16,26,55.7,89.7,37.1,413.7,969,17,False,20,7234,46.1,95.8,22.921926,77.119809,134.4,3.33,203.6,194,94.1,408.2,Bhopal,23.2599,77.4126,Kochi,9.9312,76.2673,348.4,43,Highway,High,Foggy,3,Not Charging,CS0089,0,0,14.96,AC Level 1,DR0006,55021,2,96.6,15,9,7,0.65,107.54,2796.04,132.34,50.9,133,2856.35,Motor Check,2023-01-01 11:00:00,Sunday,January
USR0007,driver007@fleetev.in,Driver,Active,True,2022-12-09 11:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00007,IN52339391,MH61EV5386,Tata,Tata Nexon EV,SUV,2023,1570,Idle,2024-06-06,30.2,84.5,97.4,20.8,345.1,891,15,False,20,5059,42.5,94.2,27.308718,76.140708,68.1,4.94,236.5,33,165.9,396.5,Jaipur,26.9124,75.7873,Hyderabad,17.385,78.4867,438.1,122,Highway,High,Clear,0,Not Charging,CS0410,0,0,23.19,AC Level 1,DR0007,110909,7,86.9,19,3,1,0.98,177.83,4623.58,231.77,55.9,105,7287.89,Motor Check,2023-01-01 11:00:00,Sunday,January
USR0008,driver008@fleetev.in,Driver,Active,True,2022-12-18 11:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00008,IN63100814,MH92EV8517,BYD,BYD Atto 3,SUV,2020,1750,Active,2024-03-28,60.5,36.3,86,32.6,398.6,213,20,False,20,5300,50,97,23.10122,77.417623,17.2,-2.98,291,13,142.7,160.4,Bhopal,23.2599,77.4126,Ahmedabad,23.0225,72.5714,51.8,102,Rural,High,Foggy,1,Charging,CS0323,170,206.94,41.51,Super Charger,DR0008,95644,18,48.3,13,13,13,1.65,448.61,11663.86,480.15,75.8,349,2894.19,Battery Service,2023-01-01 11:00:00,Sunday,January
USR0009,driver009@fleetev.in,Driver,Active,True,2022-12-12 13:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00009,IN88461803,MH64EV7543,Hyundai,Hyundai Kona EV,SUV,2020,1535,Under Maintenance,2024-12-22,39.2,23.1,75.2,40.2,415.5,183,44,True,20,2578,52.1,96.5,19.556047,73.176771,60.8,-1.07,15.9,87,58.9,456.1,Mumbai,19.076,72.8777,Lucknow,26.8467,80.9462,439.1,236,Rural,Medium,Foggy,2,Charging,CS0349,179,311.66,12.13,DC Fast Charger,DR0009,36915,16,40.5,8,16,4,8.24,106.56,2770.56,131.02,60.3,278,4994.88,Software Update,2023-01-01 13:00:00,Sunday,January
USR0010,driver010@fleetev.in,Driver,Active,False,2022-12-23 14:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00010,IN24716857,MH29EV3621,Tata,Tata Nexon EV,SUV,2023,1570,Charging,2023-09-23,30.2,49.8,83.6,40.3,391.9,414,39,False,20,690,32,91.7,28.665686,77.230336,101.5,2.4,42.2,286,97.8,177.8,Delhi,28.6139,77.209,Jaipur,26.9124,75.7873,381,237,Urban,Low,Clear,3,Not Charging,CS0408,0,0,8.51,DC Fast Charger,DR0010,75019,13,99.2,3,1,11,1.82,76.85,1998.1,76.8,56.2,333,7530.74,Brake Inspection,2023-01-01 14:00:00,Sunday,January
