driver_id,user_id,driver_name,email,phone,role,account_status,email_verified,fleet_manager_id,manager_key_used,manager_email,vehicle_id,vin,registration_number,vehicle_make,vehicle_model,car_type,manufacture_year,vehicle_weight_kg,battery_capacity_kwh,insurance_expiry,driver_experience_years,driver_income,created_at
DR0001,USR0001,Driver_001,driver001@fleetev.in,+917667779376,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00001,IN66722344,MH53EV5552,Tata,Tata Tigor EV,Sedan,2021,1255,26,2023-11-01,3,74797,2023-01-01
DR0002,USR0002,Driver_002,driver002@fleetev.in,+917186618211,Driver,Inactive,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00002,IN58181396,MH54EV5333,Tata,Tata Tiago EV,Hatchback,2023,1205,24,2023-11-24,13,35328,2023-01-01
DR0003,USR0003,Driver_003,driver003@fleetev.in,+919479708607,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00003,IN49349722,MH90EV6925,Mahindra,Mahindra XEV 9e,SUV,2024,2100,79,2023-09-29,2,111673,2023-01-01
DR0004,USR0004,Driver_004,driver004@fleetev.in,+917433797840,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00004,IN48840994,MH20EV4814,MG,MG ZS EV,SUV,2021,1620,50.3,2024-10-26,12,46319,2023-01-01
DR0005,USR0005,Driver_005,driver005@fleetev.in,+919935814872,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00005,IN57683626,MH36EV5374,Kia,Kia EV6,Crossover,2023,1960,77.4,2024-01-11,18,57087,2023-01-01
DR0006,USR0006,Driver_006,driver006@fleetev.in,+919748778024,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00006,IN72043515,MH58EV5422,Tata,Tata Tigor EV,Sedan,2024,1255,26,2024-06-16,2,55021,2023-01-01
DR0007,USR0007,Driver_007,driver007@fleetev.in,+917284277889,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00007,IN52339391,MH61EV5386,Tata,Tata Nexon EV,SUV,2023,1570,30.2,2024-06-06,7,110909,2023-01-01
DR0008,USR0008,Driver_008,driver008@fleetev.in,+917613628803,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00008,IN63100814,MH92EV8517,BYD,BYD Atto 3,SUV,2020,1750,60.5,2024-03-28,18,95644,2023-01-01
DR0009,USR0009,Driver_009,driver009@fleetev.in,+918554762903,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00009,IN88461803,MH64EV7543,Hyundai,Hyundai Kona EV,SUV,2020,1535,39.2,2024-12-22,16,36915,2023-01-01
DR0010,USR0010,Driver_010,driver010@fleetev.in,+919922644564,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00010,IN24716857,MH29EV3621,Tata,Tata Nexon EV,SUV,2023,1570,30.2,2023-09-23,13,75019,2023-01-01
DR0011,USR0011,Driver_011,driver011@fleetev.in,+919376087131,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00011,IN72820592,MH77EV5119,Mahindra,Mahindra BE 6e,Crossover,2024,1980,59,2023-11-14,18,59973,2023-01-01
DR0012,USR0012,Driver_012,driver012@fleetev.in,+918867302554,Driver,Inactive,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00012,IN55657579,MH24EV5808,Volvo,Volvo XC40 Recharge,SUV,2022,2040,78,2023-07-23,9,90612,2023-01-01
DR0013,USR0013,Driver_013,driver013@fleetev.in,+919744267175,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00013,IN78139880,MH23EV5889,Tata,Tata Tigor EV,Sedan,2020,1255,26,2024-08-05,6,95697,2023-01-01
DR0014,USR0014,Driver_014,driver014@fleetev.in,+919098545541,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00014,IN10076758,MH86EV6310,Mahindra,Mahindra XEV 9e,SUV,2019,2100,79,2024-07-25,10,56385,2023-01-01
DR0015,USR0015,Driver_015,driver015@fleetev.in,+917367878761,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00015,IN42329237,MH82EV2290,Tata,Tata Nexon EV,SUV,2019,1570,30.2,2023-11-25,5,111474,2023-01-01
DR0016,USR0016,Driver_016,driver016@fleetev.in,+919266341635,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00016,IN83793389,MH31EV5342,BYD,BYD Atto 3,SUV,2020,1750,60.5,2024-02-10,10,77296,2023-01-01
DR0017,USR0017,Driver_017,driver017@fleetev.in,+919222971316,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00017,IN97225156,MH57EV8177,Volvo,Volvo XC40 Recharge,SUV,2019,2040,78,2024-03-29,8,33392,2023-01-01
DR0018,USR0018,Driver_018,driver018@fleetev.in,+919527331058,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00018,IN12823170,MH85EV4770,Kia,Kia EV6,Crossover,2019,1960,77.4,2023-09-30,2,55007,2023-01-01
DR0019,USR0019,Driver_019,driver019@fleetev.in,+919208283728,Driver,Active,True,MGR001,MGRKEY001754,manager01@fleetev.in,VH00019,IN14216175,MH52EV2160,Tata,Tata Tiago EV,Hatchback,2021,1205,24,2024-11-28,7,95678,2023-01-01
DR0020,USR0020,Driver_020,driver020@fleetev.in,+918043665192,Driver,Active,False,MGR001,MGRKEY001754,manager01@fleetev.in,VH00020,IN86644106,MH83EV8744,Tata,Tata Tigor EV,Sedan,2022,1255,26,2024-01-30,4,37704,2023-01-01
DR0021,USR0021,Driver_021,driver021@fleetev.in,+918765670844,Driver,Active,False,MGR002,MGRKEY002859,manager02@fleetev.in,VH00021,IN67854710,MH55EV7939,Volvo,Volvo XC40 Recharge,SUV,2024,2040,78,2023-09-13,4,32944,2023-01-01
DR0022,USR0022,Driver_022,driver022@fleetev.in,+917822873088,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00022,IN55540424,MH23EV5073,BYD,BYD Seal,Sedan,2023,1885,82.5,2024-10-21,5,80296,2023-01-01
DR0023,USR0023,Driver_023,driver023@fleetev.in,+917323775634,Driver,Active,False,MGR002,MGRKEY002859,manager02@fleetev.in,VH00023,IN47385696,MH69EV5092,Tata,Tata Tigor EV,Sedan,2023,1255,26,2023-10-28,2,110477,2023-01-01
DR0024,USR0024,Driver_024,driver024@fleetev.in,+917714300770,Driver,Active,False,MGR002,MGRKEY002859,manager02@fleetev.in,VH00024,IN11980765,MH21EV4872,Mahindra,Mahindra XEV 9e,SUV,2022,2100,79,2024-11-23,7,77565,2023-01-01
DR0025,USR0025,Driver_025,driver025@fleetev.in,+918676848676,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00025,IN32097220,MH58EV1035,Tata,Tata Nexon EV,SUV,2022,1570,30.2,2024-05-07,14,116303,2023-01-01
DR0026,USR0026,Driver_026,driver026@fleetev.in,+917664847319,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00026,IN84593961,MH94EV8973,BMW,BMW i4,Sedan,2021,2050,83.9,2024-02-27,2,100914,2023-01-01
DR0027,USR0027,Driver_027,driver027@fleetev.in,+917245522987,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00027,IN82772208,MH17EV6138,BMW,BMW i4,Sedan,2023,2050,83.9,2024-11-19,17,94615,2023-01-01
DR0028,USR0028,Driver_028,driver028@fleetev.in,+917798112150,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00028,IN17634247,MH75EV2312,Tata,Tata Tigor EV,Sedan,2023,1255,26,2023-09-27,8,77923,2023-01-01
DR0029,USR0029,Driver_029,driver029@fleetev.in,+919660223333,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00029,IN86460539,MH41EV1651,Tata,Tata Tiago EV,Hatchback,2022,1205,24,2024-06-07,9,51772,2023-01-01
DR0030,USR0030,Driver_030,driver030@fleetev.in,+918699887270,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00030,IN52169044,MH40EV5351,Volvo,Volvo XC40 Recharge,SUV,2024,2040,78,2024-05-22,15,66441,2023-01-01
DR0031,USR0031,Driver_031,driver031@fleetev.in,+917314652384,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00031,IN11250299,MH68EV2638,Tata,Tata Tiago EV,Hatchback,2023,1205,24,2024-04-16,5,70745,2023-01-01
DR0032,USR0032,Driver_032,driver032@fleetev.in,+917677517496,Driver,Active,False,MGR002,MGRKEY002859,manager02@fleetev.in,VH00032,IN42787299,MH57EV5669,Tata,Tata Tiago EV,Hatchback,2023,1205,24,2024-05-24,20,110717,2023-01-01
DR0033,USR0033,Driver_033,driver033@fleetev.in,+919849232839,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00033,IN11049999,MH95EV5905,Mahindra,Mahindra XEV 9e,SUV,2020,2100,79,2024-04-15,4,39029,2023-01-01
